impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K18-110205,A562970,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A562970,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Male,Domestic Shorthair,White / Gray,07/12/2018 12:00:00 AM,Received on,20200 SE 261ST CT,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A562970,Image Copyright HLP Inc. 2018,"Received on: 2018-07-12<p></p> Found Near: 20200 SE 261ST CT, COVINGTON WA 98042<p></p> Description: White / Gray Male Domestic Shorthair Cat<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>",
K18-109348,A464869,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A464869,"Reber Ranch 28606 132ND AVE SE KENT, WA 98042",Jimmy,Cat,3 YEARS 2 MONTHS,Neutered Male,Domestic Shorthair,Black / White,06/15/2018 12:00:00 AM,Received on,23400 130TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A464869,Image Copyright HLP Inc. 2018,"Received on: 2018-06-15<p></p> Found Near: 23400 130TH AVE SE, KENT WA 98031<p></p> Description: Black / White Neutered Male Domestic Shorthair Cat<p></p> Age: 3 YEARS 2 MONTHS<p></p> Current Location: Reber Ranch 28606 132ND AVE SE KENT, WA 98042<p></p>",
K18-110103,A562652,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A562652,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tamale,Cat,9 WEEKS,Female,Domestic Shorthair,White / Brn Tabby,07/09/2018 12:00:00 AM,Received on,15100 65TH AVE S,TUKWILA,WA,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A562652,Image Copyright HLP Inc. 2018,"Received on: 2018-07-09<p></p> Found Near: 15100 65TH AVE S, TUKWILA WA 98188<p></p> Description: White / Brn Tabby Female Domestic Shorthair Cat<p></p> Age: 9 WEEKS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>",BLUE
K18-110044,A562437,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A562437,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Roo,Cat,12 WEEKS,Female,Snowshoe / Domestic Mediumhair,Seal Pt / White,07/06/2018 12:00:00 AM,Received on,12000 SE 212TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A562437,Image Copyright HLP Inc. 2018,"Received on: 2018-07-06<p></p> Found Near: 12000 SE 212TH PL, KENT WA 98031<p></p> Description: Seal Pt / White Female Snowshoe / Domestic Mediumhair Cat<p></p> Age: 12 WEEKS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>",GREEN
K18-109960,A562144,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A562144,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 MONTHS,Unaltered,Domestic Shorthair,Brn Tabby,07/03/2018 12:00:00 AM,Received on,2400 S 123ND AVE,SEATAC,WA,98168,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A562144,Image Copyright HLP Inc. 2018,"Received on: 2018-07-03<p></p> Found Near: 2400 S 123ND AVE, SEATAC WA 98168<p></p> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p></p> Age: 4 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>",
K18-109923,A562041,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A562041,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mason,Cat,5 MONTHS,Neutered Male,Domestic Shorthair,Blk Smoke,07/02/2018 12:00:00 AM,Received on,3200 S 204TH ST,SEATAC,WA,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A562041,Image Copyright HLP Inc. 2018,"Received on: 2018-07-02<p></p> Found Near: 3200 S 204TH ST, SEATAC WA 98198<p></p> Description: Blk Smoke Neutered Male Domestic Shorthair Cat<p></p> Age: 5 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>",
K14-076951,A449967,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Penny,Cat,9 YEARS 8 MONTHS,Spayed Female,Domestic Shorthair,Calico,11/02/2014 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A449967,Image Copyright HLP Inc. 2018,Received on: 2014-11-02<p></p> Description: Calico Spayed Female Domestic Shorthair Cat<p></p> Age: 9 YEARS 8 MONTHS<p></p> Current Location: In RASKC Foster Home <p></p><p></p>Adoption Fee: $30.00<p></p>,
K18-110272,A563161,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1887549,LOST,Russell,Dog,Over 1 year,Male,Labrador Retriever,Unknown,07/12/2018 12:00:00 AM,Date Lost,11600 SE 45TH PL,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1887549,Image Copyright HLP Inc. 2018,Description: Wearing a blue collar with a silver name tag that says Russell.<p></p>Age: Over 1 year<p></p>Location Lost: 11610 SE 45th Pl<p></p>Notes: Black coat<p></p>Lost Date: 07/12/2018<p></p>,
K18-109633,A557442,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A557442,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Star,Rabbit Sh,1 YEAR 2 MONTHS,Spayed Female,Rabbit Sh,Black / White,06/24/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A557442,Image Copyright HLP Inc. 2018,"Received on: 2018-06-24<p></p> Description: Black / White<p></p>  Spayed Female Rabbit Sh Rabbit Sh<p></p> Age: 1 YEAR 2 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: $20.00<p></p>",GREEN
K18-108072,A524490,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A524490,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Slinky,Cat,2 YEARS 10 MONTHS,Spayed Female,Domestic Shorthair,Black,05/02/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524490,Image Copyright HLP Inc. 2018,"Received on: 2018-05-02<p></p> Description: Black<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 2 YEARS 10 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Slinky and I am available for adoption. I was brought in by my previous owner on May 2, 2018 because I was not getting along with the other pets in the home. I lived in a home with older children.  My previous owner described me as friendly, shy, and vocal.<p></p><p></p>I am an affectionate lovebug who likes getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break. I can also be a bit shy, so I would prefer a quite, low-traffic home. <p></p><p></p>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p></p><p></p>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p></p><p></p><p></p>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p></p><p></p>1)     Feline lower urinary tract disease (FLUTD)- FLUTD is an inflammatory condition of the urinary tract caused by a combination of stress, diet and water intake.  This condition can be managed through prescription diets, increased water consumption and reducing stress in the household.  This condition will require long term management.  This cat also ha sa history of inappropriate urination, which is most likely related to the FLUTD.  We have included an information handout.<p></p><p></p>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p></p><p></p>- Special diet or prescription foods<p></p>- Prescription or over-the-counter medicines<p></p>- Special skin care or shampoos<p></p>- Regular veterinarian visits, which may include blood tests or other monitoring<p></p>- Possible surgery or other procedures as determined by your veterinarian<p></p> Adoption Fee: $30.00<p></p>",RED
